playerId,snapshot_season,snapshot_round,player_name,position,teamNickname,cba,cba_prop,cba_team,ki,ki_team,ki_po,ki_po_prop,ki_prop,rc,rc_team,rc_prop
CD_I1025677,2025,1,Sophie McKay,MID,Blues,0,0,13,0,3,0,,0,0,68,0
CD_I1025690,2025,1,Maddison Torpey,RUC,Blues,0,0,13,0,3,0,,0,0,68,0
CD_I1025789,2025,1,Tanya Kennedy,MID,Swans,7,43.75,16,0,8,0,,0,0,61,0
CD_I1025795,2025,1,Sarah Steele-Park,DEF,Swans,0,0,16,0,8,0,,0,0,61,0
CD_I1025819,2025,1,Laela Ebert,DEF,Demons,0,0,14,0,7,0,,0,0,55,0
CD_I1025829,2025,1,Coby Morgan,MID,Power,0,0,14,0,4,0,,0,0,61,0
CD_I1025861,2025,1,Holly Ifould,DEF,Freo,0,0,14,0,6,0,,0,0,61,0
CD_I1025893,2025,1,Ella Boag,MID,Power,0,0,14,0,4,0,,0,0,61,0
CD_I1025895,2025,1,Violet Patterson,MID,Magpies,0,0,13,0,8,0,,0,0,68,0
CD_I1025924,2025,1,Grace Martin,MID,GIANTS,1,5,20,0,7,0,,0,0,54,0
CD_I1025962,2025,1,Charlotte Riggs,RUC,Eagles,0,0,11,0,8,0,,0,0,51,0
CD_I1025995,2025,1,Lily Goss,MID,Blues,4,30.7692307692308,13,0,3,0,,0,0,68,0
CD_I1026008,2025,1,Amelia Radford,MID,Bombers,0,0,20,0,10,0,,0,0,55,0
CD_I1026012,2025,1,Melissa Bragg,RUC,Cats,2,13.3333333333333,15,0,3,0,,0,30,61,49.1803278688525
CD_I1026016,2025,1,Montana Beruldsen,FWD,Richmond,1,6.25,16,0,10,0,,0,0,62,0
CD_I1026053,2025,1,Emma Kilpatrick,MID,Cats,0,0,15,0,3,0,,0,0,61,0
CD_I1026104,2025,1,Mia Salisbury,MID,SUNS,4,36.3636363636364,11,0,5,0,,0,0,52,0
CD_I1026105,2025,1,Kiara Bischa,DEF,SUNS,0,0,11,1,5,1,100,20,0,52,0
CD_I1026111,2025,1,Sophie Peters,DEF,Lions,0,0,10,0,9,0,,0,0,57,0
CD_I1026113,2025,1,Indiana Williams,DEF,Lions,0,0,10,0,9,0,,0,0,57,0
CD_I1026137,2025,1,Claudia Wright,DEF,Lions,0,0,10,0,9,0,,0,0,57,0
CD_I1026141,2025,1,Ella Slocombe,MID,Kangaroos,0,0,15,0,3,0,,0,0,62,0
