Season,Round,player_id,Player,squad_id,Team,Position,af_cost,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,Opposition,home_status,venue.name,result,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,af_be,sc_magic_number,sc_be,next_opp,af_priced_at,sc_priced_at
2025,19,CD_I1006058,Bailey Scott,100,NTH,MID,434000,207700,,,,,,,,,,,,,,,,,0.208822,0,0,0,0.09,0,0,0,9816.75480328484,57,5004.09030503944,45,Geelong Cats,44.2101293856068,41.5060455225664
2025,19,CD_I298264,Ed Langdon,90,MEL,MID,700000,347600,86,90,84,CD_M20250141904,69,0,0,0,0,26,6,Melbourne,Carlton,away,MCG,L,0.403312,0,0,0,0.44,0,0,0,9816.75480328484,54,5004.09030503944,42,St Kilda,71.3066602993658,69.4631748851424
2025,19,CD_I998102,Andrew McGrath,50,ESS,DEF,617000,377800,101,78,54,CD_M20250141903,83,9,0,33,0,27,7,Essendon,GWS Giants,home,Marvel Stadium,L,0.6193,0,0,0,0.98,0,0,0,9816.75480328484,76,5004.09030503944,58,Western Bulldogs,62.8517277210124,75.4982378354626
2025,19,CD_I1000981,Daniel Rioli,1000,GCS,DEF,708000,417000,47,53,33,CD_M20250141901,37,0,2,0,18,25,11,Gold Coast Suns,Adelaide,away,Adelaide Oval,L,3.05811,0,0,0,2.53,0,0,0,9816.75480328484,89,5004.09030503944,82,Brisbane Lions,72.12159355993,83.3318294795868
2025,19,CD_I1023266,Finn Callaghan,1010,GWS,MID,1006000,576500,98,100,102,CD_M20250141903,81,19,0,70,0,27,13,GWS Giants,Essendon,away,Marvel Stadium,W,8.28428,1.5,2,0,8.88,0.8,1,0,9816.75480328484,103,5004.09030503944,152,Sydney Swans,102.477857515946,115.205754664225
2025,19,CD_I1008550,Will Day,80,HAW,MID,844000,483900,,,,,,,,,,,,,,,,,3.83505,0,0,0,9.34,0,0,0,9816.75480328484,90,5004.09030503944,111,Carlton,85.9754589895211,96.7008927701968
2025,19,CD_I1011640,Jason Horne-Francis,110,PTA,MID/FWD,747000,438600,,,,,,,,,,,,,,,,,17.6767,7.6,5,10,25.44,14.2,11,30,9816.75480328484,59,5004.09030503944,54,Adelaide,76.0943932051804,87.6482983447165
2025,19,CD_I293871,Jack Crisp,40,COL,MID,919000,484000,108,64,85,CD_M20250141905,85,10,0,37,0,27,7,Collingwood,Fremantle,home,MCG,L,1.18691,0.1,0,0,2.5,0,0,0,9816.75480328484,100,5004.09030503944,142,Richmond,93.6154583073103,96.7208764223502
2025,19,CD_I1008280,Ed Richards,140,WBD,MID,928000,535100,108,62,72,CD_M20250141908,85,21,0,78,0,27,14,Western Bulldogs,Brisbane Lions,away,Gabba,L,6.59784,9.1,6,0,4.02,2.1,1,0,9816.75480328484,107,5004.09030503944,120,Essendon,94.532258225445,106.932522672726
2025,19,CD_I296324,Jesse Hogan,1010,GWS,FWD,671000,409100,,,,,,,,,,,,,,,,,1.72431,0,0,0,1.87,0,0,0,9816.75480328484,88,5004.09030503944,158,Sydney Swans,68.3525272298207,81.75312095947
2025,19,CD_I296359,Christian Salem,90,MEL,DEF,877000,440500,113,134,103,CD_M20250141904,90,0,0,0,0,26,6,Melbourne,Carlton,away,MCG,L,2.37893,0,0,0,3.09,0,0,0,9816.75480328484,69,5004.09030503944,26,St Kilda,89.3370586893483,88.0279877356307
2025,19,CD_I291969,Stephen Coniglio,1010,GWS,MID/FWD,664000,364700,93,28,67,CD_M20250141903,77,18,0,67,0,27,13,GWS Giants,Essendon,away,Marvel Stadium,W,0.189373,0,0,0,1.64,1.3,0,0,9816.75480328484,85,5004.09030503944,138,Sydney Swans,67.639460626827,72.8803794033701
2025,19,CD_I290627,Dion Prestia,120,RIC,MID,784000,389900,105,62,75,CD_M20250141906,86,13,0,46,0,28,8,Richmond,West Coast Eagles,away,Optus Stadium,W,3.71682,0.1,0,0,2.15,0,0,0,9816.75480328484,91,5004.09030503944,105,Collingwood,79.8634595352897,77.9162597460214
